ff/fb,from,to
FF,ACAd,ORBvl
FF,ACAd,RSPagl
FF,ACAd,SSp-bfd
FF,ACAd,VISp
FF,AId,AIp
FF,AIv,ORBvl
FF,AUDd,AUDpo
FF,AUDd,AUDv
FF,AUDd,SSp-bfd
FF,AUDd,SSp-tr
FF,AUDd,SSs
FF,AUDd,TEa
FF,AUDd,VISa
FF,AUDp,AUDd
FF,AUDp,AUDpo
FF,AUDp,VISp
FF,AUDv,TEa
FF,GU,AId
FF,ILA,ACAd
FF,ILA,MOs
FF,MOp,SSp-ul
FF,MOp,SSs
FF,MOs,SSp-m
FF,ORBl,AId
FF,ORBl,FRP
FF,ORBm,ACAd
FF,ORBm,AIv
FF,PERI,AIp
FF,PERI,ECT
FF,PL,ORBm
FF,RSPagl,RSPd
FF,RSPd,VISp
FF,RSPv,ACAd
FF,RSPv,ACAv
FF,RSPv,VISa
FF,SSp-n,SSs
FF,SSp-tr,SSp-ll
FF,SSp-ul,SSs
FF,SSs,MOs
FF,TEa,VISp
FF,TEa,VISpor
FF,VISC,AId
FF,VISC,AIp
FF,VISC,MOp
FF,VISC,MOs
FF,VISal,ACAd
FF,VISal,ORBvl
FF,VISal,SSs
FF,VISam,ORBvl
FF,VISam,SSp-bfd
FF,VISam,SSp-tr
FF,VISam,VISal
FF,VISam,VISl
FF,VISpl,VISl
FF,VISpl,VISpm
FF,VISpm,VISam
FF,VISrl,ACAd
FF,VISrl,RSPagl
FF,VISrl,VISam
FF,VISrl,VISpm
FB,ACAd,ACAv
FB,ACAd,MOs
FB,ACAd,PL
FB,ACAd,RSPd
FB,ACAd,RSPv
FB,AId,MOp
FB,AUDd,AUDp
FB,AUDp,TEa
FB,FRP,AId
FB,FRP,MOp
FB,FRP,MOs
FB,ILA,ACAv
FB,ILA,PL
FB,ORBl,MOs
FB,ORBm,PL
FB,ORBvl,ORBl
FB,RSPagl,VISp
FB,RSPv,MOs
FB,SSp-bfd,MOs
FB,SSp-bfd,SSs
FB,SSp-m,MOp
FB,SSp-m,MOs
FB,SSp-n,MOp
FB,SSp-n,MOs
FB,SSp-ul,MOp
FB,SSs,MOp
FB,SSs,SSp-m
FB,VISC,SSs
FB,VISal,AUDd
FB,VISal,AUDp
FB,VISal,AUDpo
FB,VISal,AUDv
FB,VISal,MOs
FB,VISal,RSPagl
FB,VISal,RSPd
FB,VISal,SSp-bfd
FB,VISal,TEa
FB,VISal,VISa
FB,VISal,VISam
FB,VISal,VISl
FB,VISal,VISli
FB,VISal,VISp
FB,VISal,VISpm
FB,VISal,VISpor
FB,VISam,ACAd
FB,VISam,MOs
FB,VISam,RSPagl
FB,VISam,RSPd
FB,VISam,RSPv
FB,VISam,VISa
FB,VISam,VISp
FB,VISam,VISpm
FB,VISl,VISp
FB,VISpl,RSPagl
FB,VISpl,RSPd
FB,VISpl,TEa
FB,VISpl,VISp
FB,VISpl,VISpor
FB,VISpm,RSPagl
FB,VISpm,RSPd
FB,VISpm,VISp
FB,VISrl,RSPd
FB,VISrl,VISa
FB,VISrl,VISp